jurisdiction,year,prisoner_count,state_population,incarceration rate (%)
NORTH DAKOTA,2003,1100,633400,0.17366593
OHIO,2003,44350,11437680,0.38775346
OKLAHOMA,2003,22688,3506469,0.64703267
OREGON,2003,12207,3564330,0.342476707
PENNSYLVANIA,2003,40879,12370761,0.330448547
RHODE ISLAND,2003,3576,1076084,0.332316065
SOUTH CAROLINA,2003,22942,4148744,0.552986639
SOUTH DAKOTA,2003,3019,764905,0.394689537
TENNESSEE,2003,19141,5845208,0.327464822
TEXAS,2003,153056,22103374,0.692455369
UTAH,2003,4623,2352119,0.196546178
VERMONT,2003,1491,619343,0.240738977
VIRGINIA,2003,30915,7365284,0.419739415
WASHINGTON,2003,16227,6131298,0.264658479
WEST VIRGINIA,2003,3790,1811440,0.209225809
WISCONSIN,2003,22153,5474290,0.404673483
WYOMING,2003,1630,502111,0.324629415
ALABAMA,2004,25635,4525375,0.566472392
ALASKA,2004,4534,657755,0.68931441
ARIZONA,2004,32384,5739879,0.564193078
ARKANSAS,2004,12577,2750000,0.457345455
CALIFORNIA,2004,163939,35842038,0.457393076
COLORADO,2004,19655,4601821,0.427113527
CONNECTICUT,2004,17993,3498966,0.514237635
DELAWARE,2004,6753,830069,0.813546826
FLORIDA,2004,83165,17385430,0.478360328
GEORGIA,2004,51104,8918129,0.573034994
HAWAII,2004,5555,1262124,0.440131081
IDAHO,2004,5758,1395140,0.412718437
ILLINOIS,2004,44054,12712016,0.346554001
INDIANA,2004,21984,6226537,0.353069451
IOWA,2004,8525,2952904,0.288698854
KANSAS,2004,8991,2733697,0.328895265
KENTUCKY,2004,13322,4141835,0.321644875
LOUISIANA,2004,19470,4506685,0.43202487
MAINE,2004,2013,1314985,0.153081594
MARYLAND,2004,23289,5561332,0.418766583
MASSACHUSETTS,2004,9825,6407382,0.153338758
MICHIGAN,2004,48831,10104206,0.483273995
MINNESOTA,2004,7983,5096546,0.156635494
MISSISSIPPI,2004,16359,2900768,0.563954098
MISSOURI,2004,30682,5759532,0.532716894
MONTANA,2004,2703,926920,0.291610927
NEBRASKA,2004,4137,1747704,0.236710564
NEVADA,2004,11033,2332898,0.472931093
NEW HAMPSHIRE,2004,2443,1299169,0.18804328
NEW JERSEY,2004,25435,8685166,0.292855658
NEW MEXICO,2004,6403,1903006,0.336467673
NEW YORK,2004,64024,19280727,0.332062168
NORTH CAROLINA,2004,35544,8540468,0.416183282
NORTH DAKOTA,2004,1130,636308,0.177586955
OHIO,2004,44150,11450143,0.385584704
OKLAHOMA,2004,22621,3523546,0.641995308
OREGON,2004,12652,3591363,0.352289646
PENNSYLVANIA,2004,40506,12394471,0.326807009
RHODE ISLAND,2004,3169,1079916,0.29344875
SOUTH CAROLINA,2004,22650,4197892,0.53955652
SOUTH DAKOTA,2004,3053,770621,0.396173995
TENNESSEE,2004,19331,5893298,0.328016672
TEXAS,2004,156682,22471549,0.697246104
UTAH,2004,4720,2420708,0.194984277
VERMONT,2004,1968,621233,0.316789353
VIRGINIA,2004,31072,7481332,0.41532711
WASHINGTON,2004,16503,6207046,0.265875265
WEST VIRGINIA,2004,3990,1812548,0.220132101
WISCONSIN,2004,22152,5503533,0.402505082
WYOMING,2004,1765,505887,0.348892144
ALABAMA,2005,24315,4548327,0.53459217
ALASKA,2005,4798,663253,0.723404191
ARIZONA,2005,33345,5953007,0.560137087
ARKANSAS,2005,12455,2775708,0.448714346
CALIFORNIA,2005,168035,36154147,0.464773792
COLORADO,2005,21063,4663295,0.451676336
CONNECTICUT,2005,17928,3500701,0.512126
DELAWARE,2005,6788,841741,0.806423829
FLORIDA,2005,86559,17768191,0.487157077
GEORGIA,2005,48749,9132553,0.533793781
HAWAII,2005,5739,1273278,0.450726393
IDAHO,2005,6249,1429367,0.437186531
ILLINOIS,2005,44919,12765427,0.351880121
INDIANA,2005,22760,6266019,0.363229029
IOWA,2005,8737,2965524,0.294619096
KANSAS,2005,9090,2748172,0.330765323
KENTUCKY,2005,14904,4172608,0.35718668
LOUISIANA,2005,19371,4507331,0.429766529
MAINE,2005,1970,1318220,0.149443947
MARYLAND,2005,22553,5589599,0.403481538
MASSACHUSETTS,2005,10348,6433367,0.160848899
MICHIGAN,2005,49493,10100833,0.489989291
MINNESOTA,2005,8718,5126739,0.170049616
MISSISSIPPI,2005,16089,2908496,0.553172499
MISSOURI,2005,30415,5797703,0.524604313
MONTANA,2005,2822,934737,0.301903102
NEBRASKA,2005,4405,1758163,0.250545598
NEVADA,2005,11662,2412301,0.483438841
NEW HAMPSHIRE,2005,2423,1306819,0.185412058
NEW JERSEY,2005,25619,8703150,0.294364684
NEW MEXICO,2005,6571,1925985,0.341176074
NEW YORK,2005,63032,19315721,0.326324863
NORTH CAROLINA,2005,36646,8672459,0.422556048
NORTH DAKOTA,2005,1318,634605,0.207688247
OHIO,2005,45189,11470685,0.393952061
OKLAHOMA,2005,22907,3543442,0.64646183
OREGON,2005,12887,3638871,0.354148306
PENNSYLVANIA,2005,41941,12405348,0.338088057
RHODE ISLAND,2005,3414,1073579,0.318001749
SOUTH CAROLINA,2005,22456,4246933,0.528758047
SOUTH DAKOTA,2005,3346,774883,0.431807124
TENNESSEE,2005,19270,5955745,0.323553141
TEXAS,2005,157081,22928508,0.685090369
UTAH,2005,5058,2490334,0.203105286
VERMONT,2005,2078,622387,0.333875868
VIRGINIA,2005,30722,7564327,0.406143203
WASHINGTON,2005,16781,6291899,0.266708032
WEST VIRGINIA,2005,4036,1814083,0.222481551
WISCONSIN,2005,21921,5527644,0.396570401
WYOMING,2005,2096,508798,0.411951305
ALABAMA,2006,24103,4599030,0.524088775
ALASKA,2006,5052,670053,0.753970208
ARIZONA,2006,35752,6166318,0.579794944
ARKANSAS,2006,12854,2810872,0.457295814
CALIFORNIA,2006,172298,36457549,0.472598967
COLORADO,2006,22051,4753377,0.463901769
CONNECTICUT,2006,18902,3504809,0.539316123
DELAWARE,2006,7021,853476,0.822635903
FLORIDA,2006,90377,18089888,0.499599555
GEORGIA,2006,52792,9363941,0.563779716
HAWAII,2006,5510,1285498,0.42862766
IDAHO,2006,6665,1466465,0.454494311
ILLINOIS,2006,45106,12831970,0.351512667
INDIANA,2006,24901,6313520,0.394407557
IOWA,2006,8838,2982085,0.296369822
KANSAS,2006,8833,2764075,0.319564411
KENTUCKY,2006,15589,4206074,0.370630664
LOUISIANA,2006,20815,4287768,0.485450705
MAINE,2006,2083,1321574,0.157615086
MARYLAND,2006,22662,5615727,0.403545258
MASSACHUSETTS,2006,10773,6437193,0.167355554
MICHIGAN,2006,51515,10095643,0.510269628
MINNESOTA,2006,8814,5167101,0.170579209
MISSISSIPPI,2006,16384,2910540,0.562919596
MISSOURI,2006,30116,5842713,0.515445479
MONTANA,2006,2948,944632,0.312079201
NEBRASKA,2006,4399,1768331,0.248765644
