jurisdiction,year,prisoner_count,state_population,incarceration rate (%)
OKLAHOMA,2012,24370,3815780,0.638663655
OREGON,2012,14123,3899801,0.362146684
PENNSYLVANIA,2012,50228,12764475,0.393498362
RHODE ISLAND,2012,3042,1050304,0.289630431
SOUTH CAROLINA,2012,21867,4723417,0.462948751
SOUTH DAKOTA,2012,3596,834047,0.431150762
TENNESSEE,2012,19817,6454914,0.307006414
TEXAS,2012,155195,26060796,0.595511357
UTAH,2012,5309,2854871,0.185962868
VERMONT,2012,2034,625953,0.324944525
VIRGINIA,2012,29708,8186628,0.36288445
WASHINGTON,2012,16919,6895318,0.245369394
WEST VIRGINIA,2012,5335,1856680,0.287340845
WISCONSIN,2012,22419,5724554,0.391628763
WYOMING,2012,2187,576626,0.379275301
ALABAMA,2013,26825,4833996,0.554923918
ALASKA,2013,5081,737259,0.689174361
ARIZONA,2013,41031,6634997,0.618402691
ARKANSAS,2013,14295,2958765,0.48314077
CALIFORNIA,2013,134339,38431393,0.349555375
COLORADO,2013,20184,5272086,0.382846562
CONNECTICUT,2013,17319,3599341,0.481171414
DELAWARE,2013,6798,925240,0.734728287
FLORIDA,2013,100940,19600311,0.514991828
GEORGIA,2013,53701,9994759,0.537291595
HAWAII,2013,5173,1408987,0.367143203
IDAHO,2013,7219,1612843,0.447594713
ILLINOIS,2013,48653,12890552,0.377431471
INDIANA,2013,28495,6570713,0.433666788
IOWA,2013,8707,3092341,0.281566619
KANSAS,2013,9610,2895801,0.33185982
KENTUCKY,2013,12141,4399583,0.275957971
LOUISIANA,2013,18794,4629284,0.405980709
MAINE,2013,2073,1328702,0.156016925
MARYLAND,2013,21705,5938737,0.365481751
MASSACHUSETTS,2013,10622,6708874,0.158327612
MICHIGAN,2013,43704,9898193,0.441535137
MINNESOTA,2013,9391,5422060,0.173199854
MISSISSIPPI,2013,15591,2992206,0.521053698
MISSOURI,2013,31499,6044917,0.521082423
MONTANA,2013,3125,1014864,0.307923032
NEBRASKA,2013,5012,1868969,0.268169242
NEVADA,2013,12789,2791494,0.458141769
NEW HAMPSHIRE,2013,2623,1322616,0.198319089
NEW JERSEY,2013,22263,8911502,0.249823206
NEW MEXICO,2013,6767,2086895,0.324261642
NEW YORK,2013,53312,19695680,0.270678646
NORTH CAROLINA,2013,37176,9848917,0.377462822
NORTH DAKOTA,2013,1576,723857,0.217722561
OHIO,2013,51711,11572005,0.446862925
OKLAHOMA,2013,25364,3853118,0.65827208
OREGON,2013,14605,3928068,0.371811282
PENNSYLVANIA,2013,49971,12781296,0.390969742
RHODE ISLAND,2013,3168,1053354,0.300753593
SOUTH CAROLINA,2013,21534,4771929,0.451264049
SOUTH DAKOTA,2013,3612,845510,0.427197786
TENNESSEE,2013,20758,6497269,0.31948808
TEXAS,2013,155377,26505637,0.586203606
UTAH,2013,5382,2902787,0.185408023
VERMONT,2013,2078,626855,0.33149612
VIRGINIA,2013,29985,8270345,0.362560449
WASHINGTON,2013,17760,6973742,0.254669588
WEST VIRGINIA,2013,5708,1853595,0.307942134
WISCONSIN,2013,22443,5742953,0.390791985
WYOMING,2013,2288,583223,0.392302773
ALABAMA,2014,26145,4849377,0.53914142
ALASKA,2014,6323,736732,0.858249676
ARIZONA,2014,42136,6731484,0.625954099
ARKANSAS,2014,15250,2966369,0.514096527
CALIFORNIA,2014,134430,38802500,0.34644675
COLORADO,2014,20469,5355866,0.382179091
CONNECTICUT,2014,16814,3596677,0.467487072
DELAWARE,2014,6730,935614,0.719313734
FLORIDA,2014,100873,19893297,0.507070296
GEORGIA,2014,52719,10097343,0.522107648
HAWAII,2014,5390,1419561,0.379694849
IDAHO,2014,7497,1634464,0.458682479
ILLINOIS,2014,48278,12880580,0.374812314
INDIANA,2014,32493,6596855,0.492552891
IOWA,2014,8845,3107126,0.284668211
KANSAS,2014,9539,2904021,0.328475586
KENTUCKY,2014,12114,4413457,0.274478714
LOUISIANA,2014,18710,4649676,0.402393629
MAINE,2014,2199,1330089,0.165327283
MARYLAND,2014,21266,5976407,0.355832526
MASSACHUSETTS,2014,10447,6745408,0.154875732
MICHIGAN,2014,43359,9909877,0.43753318
MINNESOTA,2014,9576,5457173,0.175475471
MISSISSIPPI,2014,13069,2994079,0.436494829
MISSOURI,2014,31903,6063589,0.526140542
MONTANA,2014,3119,1023579,0.304715122
NEBRASKA,2014,5228,1881503,0.277862964
NEVADA,2014,12693,2839099,0.447078457
NEW HAMPSHIRE,2014,2723,1326813,0.205228619
NEW JERSEY,2014,21394,8938175,0.239355349
NEW MEXICO,2014,6948,2085572,0.333146015
NEW YORK,2014,52362,19746227,0.265174709
NORTH CAROLINA,2014,37348,9943964,0.375584626
NORTH DAKOTA,2014,1696,739482,0.229349734
OHIO,2014,51521,11594163,0.444370154
OKLAHOMA,2014,26493,3878051,0.683152439
OREGON,2014,14492,3970239,0.365015809
PENNSYLVANIA,2014,49174,12787209,0.384556161
RHODE ISLAND,2014,3133,1055173,0.296918136
SOUTH CAROLINA,2014,20948,4832482,0.433483249
SOUTH DAKOTA,2014,3507,853175,0.411052832
TENNESSEE,2014,20815,6549352,0.317817702
TEXAS,2014,154247,26956958,0.572197353
UTAH,2014,5307,2942902,0.180332203
VERMONT,2014,1979,626562,0.315850626
VIRGINIA,2014,30050,8326289,0.36090508
WASHINGTON,2014,17180,7061530,0.243290052
WEST VIRGINIA,2014,5867,1850326,0.317079261
WISCONSIN,2014,22572,5757564,0.392040801
WYOMING,2014,2369,584153,0.405544438
ALABAMA,2015,25212,4858979,0.518874438
ALASKA,2015,5247,738432,0.710559672
ARIZONA,2015,42204,6828065,0.618096049
ARKANSAS,2015,15784,2978204,0.529983843
CALIFORNIA,2015,127815,39144818,0.326518315
COLORADO,2015,19959,5456574,0.365778967
CONNECTICUT,2015,16024,3590886,0.446240844
DELAWARE,2015,6437,945934,0.680491451
FLORIDA,2015,99485,20271272,0.490768414
GEORGIA,2015,52002,10214860,0.509081867
HAWAII,2015,5413,1431603,0.378107618
IDAHO,2015,7238,1654930,0.437359888
ILLINOIS,2015,46240,12859995,0.359564681
INDIANA,2015,26586,6619680,0.401620622
IOWA,2015,8864,3123899,0.28374797
KANSAS,2015,9533,2911641,0.32740987
KENTUCKY,2015,11959,4425092,0.270254268
LOUISIANA,2015,18447,4670724,0.394949477
MAINE,2015,2190,1329328,0.164744894
MARYLAND,2015,20951,6006401,0.34881121
MASSACHUSETTS,2015,9493,6794422,0.139717551
MICHIGAN,2015,42628,9922576,0.429606183
MINNESOTA,2015,9578,5489594,0.174475562
MISSISSIPPI,2015,13967,2992333,0.466759548
MISSOURI,2015,32295,6083672,0.530847159
MONTANA,2015,3176,1032949,0.307469197
NEBRASKA,2015,5133,1896190,0.270700721
NEVADA,2015,13235,2890845,0.457824615
NEW HAMPSHIRE,2015,2661,1330608,0.199983767
NEW JERSEY,2015,20294,8958013,0.226545775
NEW MEXICO,2015,7104,2085109,0.340701613
NEW YORK,2015,51485,,#DIV/0!
NORTH CAROLINA,2015,36888,10042802,0.367307849
NORTH DAKOTA,2015,1772,756927,0.234104478
OHIO,2015,52240,11613423,0.449824311
OKLAHOMA,2015,27321,3911338,0.698507774
OREGON,2015,14655,4028977,0.363739977
PENNSYLVANIA,2015,48846,12802503,0.381534767
RHODE ISLAND,2015,2982,1056298,0.282306698
SOUTH CAROLINA,2015,20457,4896146,0.417818423
SOUTH DAKOTA,2015,3536,858469,0.411896061
TENNESSEE,2015,19800,6600299,0.29998641
TEXAS,2015,152492,27469114,0.555139856
UTAH,2015,4831,2995919,0.161252691
VERMONT,2015,1750,626042,0.279533961
VIRGINIA,2015,30430,8382993,0.362996844
WASHINGTON,2015,17222,7170351,0.2401835
WEST VIRGINIA,2015,5925,1844128,0.321290062
WISCONSIN,2015,22914,5771337,0.397031052
WYOMING,2015,2400,586107,0.409481545
ALABAMA,2016,23745,4860545,0.488525464
ALASKA,2016,4378,741522,0.590407297
ARIZONA,2016,42248,6908642,0.611523943
ARKANSAS,2016,15833,2988231,0.52984525
CALIFORNIA,2016,129416,39296476,0.32933233
COLORADO,2016,19486,5530105,0.352362207
CONNECTICUT,2016,15040,3587685,0.419211832
DELAWARE,2016,6334,952698,0.664848672
FLORIDA,2016,98010,20656589,0.474473302
GEORGIA,2016,53433,10313620,0.518081915
HAWAII,2016,5182,1428683,0.362711672
IDAHO,2016,7221,1680026,0.429814777
ILLINOIS,2016,43616,12835726,0.339801582
INDIANA,2016,25143,6634007,0.37900171
IOWA,2016,9049,3130869,0.289025188
KANSAS,2016,9653,2907731,0.331977064
KENTUCKY,2016,11867,4436113,0.267508966
LOUISIANA,2016,15059,4686157,0.321350736
MAINE,2016,2356,1330232,0.177111962
MARYLAND,2016,20236,6024752,0.335881045
MASSACHUSETTS,2016,9038,6823721,0.132449729
MICHIGAN,2016,41122,9933445,0.413975212
MINNESOTA,2016,9509,5525050,0.17210704
MISSISSIPPI,2016,13720,2985415,0.459567598
MISSOURI,2016,32427,6091176,0.532360254
MONTANA,2016,3199,1038656,0.307994177
NEBRASKA,2016,5167,1907603,0.270863487
NEVADA,2016,13932,2939254,0.473997824
NEW HAMPSHIRE,2016,2599,1335015,0.194679461
NEW JERSEY,2016,19458,8978416,0.216719742
NEW MEXICO,2016,6996,2085432,0.335470061
NEW YORK,2016,50611,19836286,0.255143528
NORTH CAROLINA,2016,35970,10156689,0.354150846
NORTH DAKOTA,2016,1639,755548,0.21692864
OHIO,2016,52172,11622554,0.448885847
OKLAHOMA,2016,26367,3921207,0.672420507
OREGON,2016,14579,4085989,0.356804681
PENNSYLVANIA,2016,48287,12787085,0.377623203
RHODE ISLAND,2016,2887,1057566,0.272985327
SOUTH CAROLINA,2016,20376,4959822,0.410821195
SOUTH DAKOTA,2016,3770,861542,0.437587488
TENNESSEE,2016,21539,6649404,0.323923768
TEXAS,2016,151276,27904862,0.542113414
UTAH,2016,4502,3044321,0.147881909
VERMONT,2016,1735,623354,0.278333018
VIRGINIA,2016,29882,8414380,0.355130146
WASHINGTON,2016,17228,7280934,0.236617994
WEST VIRGINIA,2016,5899,1828637,0.322589995
WISCONSIN,2016,23163,5772917,0.401235632
WYOMING,2016,2352,584910,0.402113146
