,Deaths,Population,Overdose Rate,Unemployment Rate,Median Income,prisoner_count,incarceration rate (%)
108,582,3596080,15.9945,4.5,57075,17319,0.481171414
109,623,3596677,17.641,4.6,55016,16814,0.467487072
110,800,3590886,22.0656,5.5,41099,16024,0.446240844
111,971,3576452,27.3914,3.8,70218,15040,0.419211832
112,64,795699,8.0344,4.0,57756,6841,0.858775871
113,84,806169,10.4536,4.3,72889,6637,0.823505326
114,77,818003,9.4153,5.5,66596,6630,0.810349
115,63,830803,7.6459,6.7,63636,6753,0.813546826
116,62,845150,7.5451,5.5,42798,6788,0.806423829
117,78,859268,9.3592,6.1,52248,7021,0.822635903
118,97,871749,11.4094,7.3,75112,7110,0.822189638
119,124,883874,14.2858,5.9,44509,6944,0.795334283
120,136,891730,15.3675,3.8,57829,6581,0.743513324
121,145,897934,16.6433,4.5,59817,6378,0.708830485
122,160,907135,17.6336,5.0,44354,6546,0.720816353
123,141,917092,15.2077,6.3,70310,6730,0.733872524
124,166,925749,18.7293,3.2,66451,6798,0.734728287
125,189,935614,20.9428,3.3,60837,6730,0.719313734
126,198,945934,21.9747,4.4,67481,6437,0.680491451
127,282,952065,30.7819,5.0,58146,6334,0.664848672
128,1746,16356966,10.9424,5.6,52008,72404,0.44220693
129,1927,16689370,11.8369,3.6,60474,75210,0.450583197
130,2054,17004085,12.357999999999999,4.4,51395,79594,0.468222557
131,2264,17415318,13.2445,5.4,59196,83165,0.478360328
132,2371,17842038,13.5467,6.6,40037,86559,0.487157077
133,2591,18166990,14.4039,4.5,68730,90377,0.499599555
134,2794,18367842,15.4163,6.3,54203,95187,0.521537081
135,2963,18527305,16.2201,5.3,67861,99878,0.544937512
136,3092,18652644,16.678,4.4,73594,101373,0.54683984
137,3061,18801310,16.374000000000002,4.3,50756,102070,0.541812712
138,2918,19057542,15.3918,6.1,45922,100861,0.528558931
139,2597,19317568,13.2659,5.7,42387,99835,0.516724274
140,2474,19552860,12.5629,5.1,54865,100940,0.514991828
141,2634,19893297,13.1958,4.0,60855,100873,0.507070296
142,3228,20271272,16.2362,5.2,51983,99485,0.490768414
143,4728,20612439,23.7451,6.5,60413,98010,0.474473302
144,511,8377038,6.013999999999999,5.9,42824,45937,0.546499705
145,563,8508256,6.5154,7.4,67243,47445,0.555301641
146,607,8622793,6.9438,4.2,61486,47208,0.544092867
147,666,8769252,7.4828,4.0,59494,51104,0.573034994
148,738,8925922,8.1931,5.8,66258,48749,0.533793781
149,830,9155813,8.9427,6.4,56473,52792,0.563779716
150,923,9349988,9.6862,5.2,47330,54256,0.568438147
151,935,9504843,9.7082,3.2,55065,52719,0.54429479
